172,92,55
78,4,0
83,10,4
179,118,100
93,7,0
98,0,0
104,12,1
104,14,3
118,52,17
81,4,0
63,0,0
66,0,0
99,29,21
60,1,0
96,21,25
59,10,5
107,23,12
84,5,0
88,5,0
86,9,3
53,5,19
45,8,2
71,8,1
82,16,4
68,0,0
90,14,0
93,23,13
104,8,12
107,6,0
74,19,14
102,7,0
104,18,3
106,12,13
55,0,0
48,7,3
37,7,5
94,9,2
133,71,34
32,4,1
87,6,5
101,0,8
125,16,9
66,11,32
91,11,2
76,14,29
50,7,14
11,3,1
23,0,10
13,1,13
54,0,0
58,6,0
40,3,10
19,2,10
10,5,2
90,19,0
86,38,36
84,22,7
73,0,0
106,10,0
93,23,0
102,23,10
78,26,30
114,10,0
78,10,9
93,8,11
71,3,16
72,3,0
20,7,1
31,0,0
38,0,0
87,0,0
91,9,0
101,13,0
82,0,9
47,3,4
24,5,0
56,0,6
45,6,9
86,10,0
93,15,0
145,50,18
61,2,4
24,0,0
34,1,0
68,5,0
121,77,48
50,1,0
98,54,25
85,52,35
